1	There	_	EX	EX	_	2	expl	_	_
2	's	_	VBZ	VBZ	_	0	null	_	_
3	a	_	DT	DT	_	5	det	_	_
4	young	_	JJ	JJ	_	5	amod	_	_
5	girl	_	NN	NN	_	2	nsubj	_	_
6	and	_	CC	CC	_	2	cc	_	_
7	she	_	PRP	PRP	_	10	nsubj	_	_
8	's	_	VBZ	VBZ	_	10	cop	_	_
9	my	_	PRP$	PRP$	_	10	poss	_	_
10	daughter	_	NN	NN	_	2	conj	_	_
11	.	_	.	.	_	2	punct	_	_

1	She	_	PRP	PRP	_	2	nsubj	_	_
2	has	_	VBZ	VBZ	_	0	null	_	_
3	nobody	_	NN	NN	_	2	dobj	_	_
4	else	_	RB	RB	_	3	advmod	_	_
5	.	_	.	.	_	2	punct	_	_

1	You	_	PRP	PRP	_	2	nsubj	_	_
2	need	_	VBP	VBP	_	0	null	_	_
3	to	_	TO	TO	_	4	aux	_	_
4	leave	_	VB	VB	_	2	xcomp	_	_
5	,	_	,	,	_	4	punct	_	_
6	now	_	RB	RB	_	4	advmod	_	_
7	.	_	.	.	_	2	punct	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	've	_	VBP	VBP	_	4	aux	_	_
3	been	_	VBN	VBN	_	4	aux	_	_
4	trying	_	VBG	VBG	_	0	null	_	_
5	to	_	TO	TO	_	6	aux	_	_
6	figure	_	VB	VB	_	4	xcomp	_	_
7	out	_	RP	RP	_	6	prt	_	_
8	how	_	WRB	WRB	_	10	advmod	_	_
9	to	_	TO	TO	_	10	aux	_	_
10	tell	_	VB	VB	_	6	ccomp	_	_
11	you	_	PRP	PRP	_	10	dobj	_	_
12	that	_	IN	IN	_	14	complm	_	_
13	I	_	PRP	PRP	_	14	nsubj	_	_
14	want	_	VBP	VBP	_	10	ccomp	_	_
15	to	_	TO	TO	_	16	aux	_	_
16	spend	_	VB	VB	_	14	xcomp	_	_
17	the	_	DT	DT	_	18	det	_	_
18	rest	_	NN	NN	_	16	dobj	_	_
19	of	_	IN	IN	_	18	prep	_	_
20	my	_	PRP$	PRP$	_	21	poss	_	_
21	life	_	NN	NN	_	19	pobj	_	_
22	with	_	IN	IN	_	16	prep	_	_
23	you	_	PRP	PRP	_	22	pobj	_	_
24	.	_	.	.	_	4	punct	_	_

1	The	_	DT	DT	_	4	det	_	_
2	name	_	NN	NN	_	4	nn	_	_
3	James	_	NNP	NNP	_	4	nn	_	_
4	Beckett	_	NNP	NNP	_	5	nsubj	_	_
5	ring	_	VBP	VBP	_	0	null	_	_
6	a	_	DT	DT	_	7	det	_	_
7	bell	_	NN	NN	_	5	dobj	_	_
8	?	_	.	.	_	5	punct	_	_

1	Picked	_	VBN	VBN	_	2	amod	_	_
2	'em	_	NN	NN	_	0	null	_	_
3	off	_	RP	RP	_	2	prt	_	_
4	on	_	IN	IN	_	2	prep	_	_
5	a	_	DT	DT	_	7	det	_	_
6	murder	_	NN	NN	_	7	nn	_	_
7	rap	_	NN	NN	_	4	pobj	_	_
8	15	_	CD	CD	_	9	num	_	_
9	years	_	NNS	NNS	_	10	dep	_	_
10	back	_	RB	RB	_	2	advmod	_	_
11	.	_	.	.	_	2	punct	_	_

1	Her	_	PRP$	PRP$	_	2	poss	_	_
2	mom	_	NN	NN	_	4	nsubj	_	_
3	is	_	VBZ	VBZ	_	4	aux	_	_
4	saying	_	VBG	VBG	_	0	null	_	_
5	you	_	PRP	PRP	_	6	nsubj	_	_
6	lied	_	VBD	VBD	_	4	ccomp	_	_
7	about	_	IN	IN	_	6	prep	_	_
8	witnessing	_	VBG	VBG	_	7	pcomp	_	_
9	Beckett	_	NNP	NNP	_	8	tmod	_	_
10	that	_	IN	IN	_	11	dep	_	_
11	night	_	NN	NN	_	8	dep	_	_
12	.	_	.	.	_	4	punct	_	_

1	She	_	PRP	PRP	_	2	nsubj	_	_
2	has	_	VBZ	VBZ	_	0	null	_	_
3	proof	_	NN	NN	_	2	dobj	_	_
4	.	_	.	.	_	2	punct	_	_

