1	There	_	EX	EX	_	2	expl	_	_
2	is	_	VBZ	VBZ	_	0	null	_	_
3	an	_	DT	DT	_	5	det	_	_
4	old	_	JJ	JJ	_	5	amod	_	_
5	proverb	_	NN	NN	_	2	nsubj	_	_
6	which	_	WDT	WDT	_	7	nsubj	_	_
7	says	_	VBZ	VBZ	_	5	rcmod	_	_
8	:	_	:	:	_	2	punct	_	_

1	Do	_	VBP	VBP	_	3	aux	_	_
2	n't	_	RB	RB	_	3	neg	_	_
3	try	_	VB	VB	_	0	null	_	_
4	to	_	TO	TO	_	5	aux	_	_
5	do	_	VB	VB	_	3	xcomp	_	_
6	two	_	CD	CD	_	7	num	_	_
7	things	_	NNS	NNS	_	5	dobj	_	_
8	at	_	IN	IN	_	9	dep	_	_
9	once	_	RB	RB	_	5	advmod	_	_
10	and	_	CC	CC	_	5	cc	_	_
11	expect	_	VB	VB	_	5	conj	_	_
12	to	_	TO	TO	_	13	aux	_	_
13	do	_	VB	VB	_	11	xcomp	_	_
14	justice	_	NN	NN	_	13	dobj	_	_
15	to	_	TO	TO	_	13	prep	_	_
16	both	_	DT	DT	_	15	pobj	_	_
17	.	_	.	.	_	3	punct	_	_

1	This	_	DT	DT	_	4	nsubj	_	_
2	is	_	VBZ	VBZ	_	4	cop	_	_
3	the	_	DT	DT	_	4	det	_	_
4	story	_	NN	NN	_	0	null	_	_
5	of	_	IN	IN	_	4	prep	_	_
6	a	_	DT	DT	_	7	det	_	_
7	boy	_	NN	NN	_	5	pobj	_	_
8	who	_	WP	WP	_	9	nsubj	_	_
9	tried	_	VBD	VBD	_	7	rcmod	_	_
10	it	_	PRP	PRP	_	9	dobj	_	_
11	.	_	.	.	_	4	punct	_	_

1	While	_	IN	IN	_	2	mark	_	_
2	employed	_	VBN	VBN	_	11	csubj	_	_
3	as	_	IN	IN	_	2	prep	_	_
4	a	_	DT	DT	_	7	det	_	_
5	moving	_	VBG	VBG	_	7	amod	_	_
6	picture	_	NN	NN	_	7	nn	_	_
7	operator	_	NN	NN	_	3	pobj	_	_
8	is	_	VBZ	VBZ	_	11	cop	_	_
9	a	_	DT	DT	_	11	det	_	_
10	small	_	JJ	JJ	_	11	amod	_	_
11	town	_	NN	NN	_	0	null	_	_
12	...	_	:	:	_	17	punct	_	_
13	theater	_	NN	NN	_	17	dep	_	_
14	he	_	PRP	PRP	_	17	nsubj	_	_
15	was	_	VBD	VBD	_	17	aux	_	_
16	also	_	RB	RB	_	17	advmod	_	_
17	studying	_	VBG	VBG	_	11	dep	_	_
18	to	_	TO	TO	_	21	aux	_	_
19	be	_	VB	VB	_	21	cop	_	_
20	a	_	DT	DT	_	21	det	_	_
21	detective	_	NN	NN	_	17	xcomp	_	_
22	.	_	.	.	_	11	punct	_	_

1	How	_	WRB	WRB	_	5	advmod	_	_
2	to	_	TO	TO	_	5	aux	_	_
3	be	_	VB	VB	_	5	cop	_	_
4	a	_	DT	DT	_	5	det	_	_
5	detective	_	NN	NN	_	0	null	_	_
